"name","description"
"find_services_not_registered","Scans all constructor parameters in the solution (or a specific project) and identifies injected service types that appear to be missing from the DI container registrations. Detects interfaces (IFoo pattern) and common service-like types (ending in Service, Repository, Manager, Factory, Provider, Handler, Validator, Dispatcher). Framework-provided types (ILogger, IOptions, IConfiguration, etc.) are excluded. Returns consumer class name, file, line, the missing type, and the parameter name. Use to catch unregistered dependencies before runtime failures."
"convert_to_pattern","Modernizes code using C# pattern matching (C# 7.0+).
Converts patterns like:
- 'if (x == null)' → 'if (x is null)'
- 'if (x != null)' → 'if (x is not null)'
- 'if (obj != null && obj.Property > 0)' → 'if (obj is { Property: > 0 })'

filePath: path to the .cs file to transform.
Returns the updated file content with modern pattern matching applied."
"analyze_method_control_flow","Analyzes control flow for an entire method body using Roslyn's semantic analysis.

Unlike the raw line-based analyze_control_flow tool, this takes a method name — no
need to count line numbers or worry about accidentally including the method signature
(which causes a 'statements not within the same statement list' error in line-based tools).

Returns: EndPointIsReachable (false = all code paths return/throw), ReturnStatements,
ThrowStatements, BreakStatements, ContinueStatements.

If the method has multiple overloads, supply disambiguateLine (any line number that
falls inside the desired overload's body) to select the correct one."
"convert_to_source_generated_logging","Converts LogInformation/LogError/LogWarning calls in a class to high-performance [LoggerMessage] partial methods and makes the class partial."
"find_task_run_in","Detects 'await Task.Run(...)' patterns in server-side code. Task.Run wraps work in a new thread pool task which is wasteful in async server code. Prefer direct async methods."
"find_obsolete_callers","Finds all call sites that invoke a method decorated with [Obsolete].
Designed for tracking CS0618 migration progress — every result is a call site that still
needs to be migrated away from the deprecated (Asyncify-bridge) method.

Parameters:
- messagePattern: Optional substring to filter by the [Obsolete] attribute message (case-insensitive).
  Use ""Asyncify-bridge"" to restrict to bridge wrappers created by the async migration.
- filePath: Optional; restrict results to call sites in this file.
- projectName: Optional; restrict results to call sites in this project.

Returns ObsoleteCallerFinding records: ObsoleteMethodName, ObsoleteMessage, DeclaringType,
CallerMethod, CallerType, FilePath, Line, CodeSnippet."
"apply_cancellation_token_to_file","Adds 'CancellationToken cancellationToken = default' to all eligible async methods in a
file in a single Roslyn rewrite pass, then writes the result to disk and updates the
in-memory workspace.

Eligible methods: async or Task/ValueTask-returning, no existing CancellationToken
parameter, and not event handlers (fixed-signature delegates).

methodNames: optional array of method names to limit the scope. When omitted, all eligible
methods in the file are processed.

Returns ModifiedMethods (changed), SkippedMethods (eligible async methods skipped for a
specific reason — already have CT, abstract, event handler, or outside the requested scope;
sync methods are not included), TotalModified, WroteToFile, WorkspaceInSync, and
WorkspaceVersion. If WorkspaceInSync is false, call load_solution before further analysis."
"find_large_types","Finds types (classes, structs, records, interfaces) exceeding a line count threshold across the solution or a specific project. Returns TypeName, FilePath, and LineCount. Use before modifying a large class — anything over 500 lines is a prime extract-class candidate. Default threshold is 500 lines."
"change_accessibility","Changes the accessibility modifier of a type or member.

targetName is the class/method/property/field name to modify.
accessibility must be one of: ""public"", ""private"", ""internal"", ""protected"",
""protected internal"", or ""private protected"".
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"add_base_type","Adds a base type or interface to a type declaration.

typeName is the class/record/struct/interface to modify; baseTypeName is what to add
(e.g. ""IDisposable"", ""BaseController"", ""IMyService<string>"").
If the type already inherits or implements baseTypeName, the file is returned unchanged.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"get_method_complexity","Calculates the cyclomatic complexity of a method: 1 + one for each if/else/case/while/for/foreach/catch/&&/||/?? branch. Returns the complexity score and the list of conditionals that contribute to it. Complexity guide: 1–4 = Low (easy to understand and test), 5–7 = Medium, 8–10 = High (refactoring candidate), >10 = Very High (split required). Use before modifying a method to gauge how risky the change is."
"find_async_void_without_try_catch","Detects async void methods whose entire body is not wrapped in a try/catch. Unhandled exceptions inside async void crash the process via the unhandled-exception handler — there is no way for a caller to catch them. Wrap the body in try { } catch (Exception ex) { }."
"find_structural_smells","Scans the solution for structural issues with granular filtering. typeFilter options: All, MultiType, NameMismatch."
"get_type_members_detail","Returns all members of a type (methods, properties, fields, events) with full metadata: signature, accessibility, kind, IsInherited, IsOverride, IsAbstract, IsStatic, file path, and line. Set includeInherited=false to show only directly declared members."
"check_for_empty_catch_blocks","Scans for empty catch blocks. Optionally filtered by project."
"detect_anti_patterns","Detects common C# anti-patterns introduced by AI code generation: BlockingTaskWait (.Result/.Wait()/.GetAwaiter().GetResult()), AsyncVoidMethod (non-event-handler async void), StringConcatInLoop (string += in loops), CatchExceptionSwallow (empty catch blocks), DisposedObjectUsage (use after Dispose), MissingCancellationToken (public async methods with 3+ params lacking CancellationToken), MagicNumber (unexplained numeric literals). Optionally scope by filePath, projectName, or patternFilter array."
"get_file_diagnostics","Gets all compiler errors and warnings for a specific file."
"use_time_provider","Replaces direct DateTime usage with modern TimeProvider abstractions for testability."
"convert_to_background_service","Converts a class to a BackgroundService: adds BackgroundService base class, generates ExecuteAsync override, and adds Microsoft.Extensions.Hosting using directive."
"find_circular_dependencies","Identifies circular project references (A -> B -> A)."
"find_string_magic_values","Finds string literal magic values: the same string appearing 3+ times across a file, project, or solution. Returns value, occurrence count, suggested constant name (PascalCase), and all file/line locations. Excludes empty strings, nameof() args, attribute arguments, and strings shorter than 3 chars."
"find_regex_new_in_loop","Detects new Regex() construction inside loop bodies (for/foreach/while/do). Constructing a Regex per iteration recompiles the pattern on every pass — a pure waste for literal patterns, and a ReDoS amplification vector for variable patterns. Hoist to a static readonly field."
"add_cancellation_token_to_method","Adds 'CancellationToken cancellationToken = default' as the last parameter to a method
and propagates it to async callees in the method body that have a CancellationToken
overload. Also adds cancellationToken to Task.Delay() calls.
Returns CancellationTokenResult where exactly one field is populated:
  autoStage=true (default): ChangeId is set; apply with apply_staged_changes(changeId).
  autoStage=false: Source is set; pass Source.UpdatedSource to apply_proposed_changes to save."
"get_workspace_health","GET_WORKSPACE_HEALTH — Targeted workspace health check that fixes false negatives.

FIXES MS BUG: The standard diagnose tool reports healthy:false even when all projects
load successfully, because it tests MSBuild path existence rather than actual workspace
state. A workspace with 86/86 projects loaded correctly can be falsely reported as
unhealthy.

This tool reads actual solution state directly:
  • IsOperational  — true if workspace itself is functional (not throwing)
  • HasLoadedSolution — true if a .sln or .csproj is currently loaded
  • ProjectCount/DocumentCount — actual loaded counts from the workspace
  • LoadErrors — non-fatal warnings that occurred during solution loading
  • Summary — human-readable status

Note: IsOperational=true + HasLoadedSolution=false simply means no solution has
been loaded yet — this is a normal state, not an error."
"find_multiple_enumeration","Detects IEnumerable<T> or IQueryable<T> locals/parameters that are iterated more than once without a materializing call (ToList/ToArray). Multiple enumerations can execute a database query or generator multiple times. Reports variable name and enumeration line numbers."
"find_duplicate_blocks_in_class","Finds duplicate statement sequences within the methods of a single class.
Uses structural hashing (SyntaxKind-based) so blocks match regardless of
variable names or literal values — the same control-flow shape is a clone.

Returns groups of matching block locations including:
• StatementCount — how many statements the clone spans
• HasControlFlowExit — true if any statement is a return/break/continue/throw
  (flag only; does not block the finding)
• SnippetPreview — first 120 chars of the first statement
• CapturedVariables — variables that would need to become parameters if extracted
• ProducedVariables — variables that would need to be returned if extracted
• Occurrences — method name, start line, end line, file path for each copy

Use this to find Extract-Method candidates within a single class before the
duplication spreads. Set minStatements lower (e.g. 3) for aggressive detection,
higher (e.g. 6) for only substantial clones."
"get_async_migration_progress","Returns async migration progress statistics for the solution or a single project.
Reports: total async Task/ValueTask methods, how many already have a CancellationToken
parameter (and how many still need one), percentage coverage, number of Asyncify-bridge
wrapper methods ([Obsolete(""Asyncify-bridge:..."")]), number of call sites that still
invoke those bridge wrappers (CS0618 sites pending migration), and count of async void
event handlers (informational — their signatures cannot be extended).

projectName: restrict statistics to a single project; null = entire solution."
"get_solution_metrics","Gets deep metrics for the entire solution or a specific project."
"validate_proposed_diff","Validates a proposed Unified Diff in-memory and returns compiler diagnostics."
"generate_test_scaffold","Generates an xUnit+Moq test class scaffold for a given class. Auto-detects constructor parameters to create Mock<T> fields, instantiates the SUT, and adds one test method stub per public method with Arrange/Act/Assert comments."
"simplify_verbosity","Simplifies redundant code patterns globally in a file (target-typed new, null-coalescing assignment, etc.)."
"optimize_resource_disposal","Scans for IDisposable objects that are not properly disposed. Optionally filtered by project."
"find_cancellation_token_not_forwarded","EPC31: Finds async methods that have a CancellationToken parameter but call awaitable
methods ('*Async') without forwarding the token. Detects missed cancellation propagation
that leaves callers unable to cancel downstream work.
filePath: scan a single file. Leave null to scan the entire solution.
Returns method name, file, line, the unforwarded callee name, and the CT parameter name."
"get_comprehensive_health_report","Generates a paged comprehensive health report. engines: Structure, Modernization, Performance, Safety, Architecture. offset/limit for project paging."
"find_task_void_usage","Detects dangerous 'async void' usage that can crash the application."
"find_boxing_allocations","Finds potential boxing allocations. Optionally filtered by project."
"find_types_by_attribute","Finds all TYPES (classes, interfaces, records, structs, enums) decorated with a specific attribute using the semantic model for accuracy. Unlike find_attribute_usages (which returns all targets including methods and properties), this returns only type-level decoration. Useful for: 'find all [ApiController] classes', 'find all [TestClass] types', 'find all [Serializable] types'. Returns TypeName, FilePath, and Line."
"sort_members","Reorders members of a class/struct/record by convention: fields, constructors, destructors,
properties, indexers, events, methods, operators, nested types.

Within each category: static members come before instance members, then alphabetical by name.
containerName is the type whose members to sort.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"detect_breaking_changes","Compares a previously captured API surface (baseline) against the current code and reports breaking changes: removed types, removed/renamed members, and signature changes. Workflow: (1) call get_public_api_surface_snapshot to capture the baseline, (2) make code changes, (3) call this tool with the baseline list. Scope with projectName or filePath as in step 1."
"find_unused_references","Identifies NuGet package references in a project that are not being used."
"find_interface_extraction_candidates","Finds public classes with 3+ public methods but no corresponding interface. Returns ClassName, FilePath, and the list of public method names. These are prime candidates for interface extraction — a prerequisite for testability (Moq/NSubstitute) and adding a second implementation. Increase minPublicMethods (default 3) for stricter filtering."
"generate_test_skeleton","Generates a unit test skeleton for a class."
"generate_classes_from_json","Generates C# classes from a JSON string."
"analyze_control_flow","Analyzes control flow of a method: shows whether it always/sometimes/never returns, lists all return points, and identifies exit paths (throws, breaks, continues). methodName: the method to analyze. contextSnippet: optional snippet to disambiguate overloads. Provide lineBefore and/or lineAfter when the snippet could match multiple locations. Returns: AlwaysReturns, SometimesReturns, ReturnStatements, ThrowStatements, HasInfiniteLoop."
"analyze_exception_handling","Analyzes exception handling anti-patterns in a file: CatchAll (bare catch or catch Exception), EmptyRethrow (throw ex; loses stack trace), SwallowedException (catch with no rethrow/log/return), ExceptionAsControlFlow (catching FormatException etc. inside loops). Severity: High for CatchAll/EmptyRethrow, Medium for SwallowedException/ExceptionAsControlFlow."
"record_to_class","Converts a C# record back to a standard class."
"get_public_api_surface_snapshot","Extracts a snapshot of the public API surface (all public/protected types, methods, constructors, properties, events) from a project or file. Save the returned list as a baseline, make code changes, then call detect_breaking_changes with the baseline to find removed or renamed members. Provide projectName to scope to one project, filePath to scope to one file, or omit both for the entire solution."
"introduce_parameter","Introduces a new method parameter from an expression. Provide contextSnippet: a verbatim substring uniquely identifying the expression. Provide lineBefore and/or lineAfter when the snippet could match multiple locations. Updates the method signature (single-file only — call sites in other files not updated)."
"find_use_frozen_collections","Finds private static readonly Dictionary<> and HashSet<> fields initialized inline. Suggests using FrozenDictionary/FrozenSet (System.Collections.Frozen) for better read performance."
"list_files","Lists all files within a specific project."
"invert_assignments","Swaps left and right sides of all assignment statements within a line range."
"generate_equality_overrides","Generates Equals and GetHashCode overrides for a class."
"optimize_task_wait","Adds .ConfigureAwait(false) to all await expressions in a file for library-safe async code."
"convert_anonymous_to_named","Converts an anonymous object creation to a formal named class."
"update_xml_docs_from_signature","Regenerates XML doc param/returns tags to match the current method signature: adds tags for new parameters, removes tags for deleted parameters, and adds a <returns> tag if missing on a non-void method."
"generate_default_config_json","Scans a project for all config[""Key""] and IConfiguration.GetValue<T>(""Key"") usages and generates a JSON skeleton with all keys and inferred default values."
"remove_member","Removes a specific member from a class or interface by name."
"use_index_from_end","IDE0056: Upgrades manual index calculations (Length - 1) to modern [^1] syntax."
"find_unsafe_lazy_init","Detects unsafe lazy initialization: double-checked locking without 'volatile' keyword (field may be partially initialized due to CPU reordering). Suggests Lazy<T> or volatile."
"move_file_to_namespace_folder","Returns the folder path where a file should reside based on its declared namespace. Use to plan file moves."
"get_solution_diagnostics","Gets compiler errors and warnings across the entire loaded solution.
Results are capped at maxDetails entries in the detail list (default 50) to keep
output manageable — the Errors/Warnings counts always reflect the full totals.
Errors are always sorted before warnings so the cap never hides an error.
File paths are relative to the solution root for compact output.
For complete diagnostics on a specific project, use get_project_diagnostics instead.
Blazor source-generator false positives (CS0234/CS0246/CS0103) are automatically
suppressed in Razor-component projects."
"extract_constant","Extracts a literal expression to a named constant in the containing type. contextSnippet: a verbatim substring containing or surrounding the literal (e.g., '= 42;' or '""hello world""'). constantName: the name for the new constant. visibility: 'private' (default), 'protected', 'internal', or 'public'. Provide lineBefore and/or lineAfter when the snippet could match multiple locations. Returns the updated file content."
"document_poco_fields","Adds comprehensive [Description] comments to all fields in a POCO class."
"convert_switch_to_pattern_safe","Converts a switch statement to a switch expression safely.

FIXES standard 'convert_to_pattern_matching' BUG: The standard tool silently
drops variable assignments for cases that set more than one variable, generating
incorrect code. This tool rejects those cases with a clear error message instead
of producing broken output.

Supports three switch forms:
  1. All cases are assignments to the SAME variable:
       case ""g"": factor = 1.0; break;
       → factor = unit switch { ""g"" => 1.0, ... };

  2. All cases are return statements:
       case ""g"": return 1.0;
       → return unit switch { ""g"" => 1.0, ... };

  3. All cases are throw statements (or mixed with return).

Rejects (with a clear error):
  • Cases assigning to MULTIPLE different variables per case
  • Cases assigning to different variables across cases
  • Cases with complex multi-statement bodies

Run AnalyzeSwitchForPatternConversion first if you are unsure.

Parameters:
  filePath       - Absolute path to the .cs file.
  contextSnippet - A verbatim substring from the switch keyword or governing
                   expression, e.g. ""switch (unit)"".
  lineBefore/lineAfter - Verbatim text from the line above/below the target to
                   disambiguate when the snippet matches multiple locations.

Returns: UpdatedContent on success, or Error describing exactly why conversion
was rejected."
"find_task_yield_usage","Detects Task.Yield() calls."
"get_public_api_surface","Returns the complete public API surface of a named project: all public types (classes, interfaces, records, structs), their public and protected methods, properties, and constructors. Each entry includes the type name, member name, full signature, kind (Class/Interface/Method/Property/Constructor/Record/Struct), virtuality/abstractness/sealed flags, and any XML documentation summary. Use includeMethods/includeProperties/includeTypes flags to filter output. Ideal for generating SDK documentation, comparing API surfaces across versions, or producing API review reports."
"sync_interface_to_implementation","Adds to the interface any public methods or properties that exist in the class but are missing from the interface. Finds the interface in the same file or anywhere in the solution. Returns the updated source of the file containing the interface (prefixed with '// Updated file: path' if it differs from the class file)."
"find_naming_violations","Checks C# naming conventions across a file, project, or solution. Reports: private fields not following '_camelCase', non-private methods not following PascalCase, and parameters not following camelCase. Returns AntiPatternFinding records with Pattern='NamingViolation', Severity='Low'."
"generate_fluent_builder","Generates a fluent builder class for any C# class. The builder provides With{Property}() methods for each public settable property and a Build() method that constructs the target type. Returns the complete builder source, class name, and a usage example."
"validate_staged_changes","Validates a previously staged set of changes (from a refactoring tool) in-memory and returns compiler diagnostics. Use this for a 'dry run' before applying staged changes."
"find_configure_await_missing","Scans a file for await expressions missing .ConfigureAwait(false). Excludes classes ending in Controller/Hub/PageModel/ViewModel (those are app-level where ConfigureAwait is not needed). Returns method name, line, and reason."
"simplify_member_access","Removes redundant 'this.' member access qualifiers from an entire file."
"find_blocking_calls_in","Detects blocking calls inside async methods: Thread.Sleep, .Result, .Wait(), .GetAwaiter().GetResult(). These block the thread pool thread and can cause deadlocks."
"find_namespace_path_mismatches","Scans the loaded solution for source files where the declared namespace does not match the file's folder path relative to its project root. Mismatches indicate that Roslyn's path-based document identity and namespace-based type identity are out of sync, which can cause batch refactoring tools to write changes to incorrect file locations. Syntax-only scan — no compilation required. Safe to run at any time including when the build is broken. Returns findings grouped by severity: Error (duplicate type names exist across mismatched paths — immediate risk), Warning (mismatch exists but no duplicate detected — latent risk). Optionally scoped to a single project."
"add_braces","IDE0011: Adds braces to single-line if, foreach, and while statements."
"list_dependencies","Lists all project and NuGet dependencies for a specific project."
"find_methods_by_return_type","Finds all methods in the solution that return a specific type."
"find_duplicate_methods","Finds structurally duplicate method implementations across the solution: methods that share the same statement structure and control flow even if identifiers differ (hash-based). Returns groups of duplicate methods with their file paths and type names. Use to find copy-paste code that should be consolidated into a shared helper. Increase minStatements (default 5) to reduce false positives on short utility methods."
"extract_method","Extracts a block of statements into a new private method. Provide startLine and endLine (1-based, line range only — no column precision needed), the exact physical text of those two lines (used to detect stale files before modifying), and a name for the new method. Data flow analysis automatically determines parameters and return type. Returns BeforeSnippet/CallSiteReplacement/ExtractedMethodText previews plus UpdatedSourceContent for staging."
"remove_base_type","Removes a base type or interface from a type declaration.

typeName is the class/record/struct/interface to modify.
baseTypeName is the base type or interface to remove (e.g. ""IDisposable"", ""BaseController"").
If the type has no base list or does not implement/inherit baseTypeName, the file is returned unchanged.
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"find_unvalidated_regex_source","Detects new Regex() or Regex.IsMatch/Match/Replace calls where the pattern argument is not a compile-time string literal. A non-literal pattern may originate from user input, enabling Regex injection (attacker-controlled matching logic) and ReDoS attacks."
"find_circular_type_references","Finds circular constructor-injection dependencies among user-defined types: type A's constructor depends on type B, and B's constructor (transitively) depends on A. This is the exact cycle that causes .NET's DI container to throw at startup. Complements find_services_not_registered — use both before adding new service registrations. Optionally scoped to a project."
"add_field","Generates a field declaration and adds it to a type.

containerName is the class/struct to modify; fieldName and fieldType specify the field.
accessibility defaults to ""private"". isReadonly and isStatic add those modifiers.
initializer is an optional value expression (e.g. ""42"" or ""new List<string>()"").
Use autoStage=true (default) to get a ChangeId for ApplyStagedChanges."
"find_possible_infinite_loops","Analyzes a file for potential infinite loops."
"check_for_sql_injection","Scans for potential SQL injection vulnerabilities.
Pass filePath to scope to a single file, projectName to scope to a project,
or leave both null to scan the whole solution.

Detects calls to common SQL execution methods (ExecuteNonQuery, ExecuteReader,
ExecuteScalar, FromSqlRaw, Query, etc.) where the first argument is a dynamic
string — either an interpolated string with expressions ($""...{x}..."") or string
concatenation involving a non-literal operand.

Returns a list of SecurityIssueReport with IssueType='PossibleSqlInjection',
file path, line/column, and a description recommending parameterized queries.
Does NOT check CommandText property assignments."
"replace_constructor_with_factory","Replaces a class constructor with a private constructor plus a public static Create() factory method."
"get_symbol_info","Gets deep metadata for a symbol: type, kind, accessibility, attributes, documentation. Provide contextSnippet: a verbatim substring identifying the symbol usage or declaration. Provide lineBefore and/or lineAfter when the snippet could match multiple locations."
"optimize_independent_awaits","Batches independent sequential await calls in a method into a single Task.WhenAll() for parallel execution."
"find_unobserved_task_in_field","Detects Task or ValueTask-returning method calls assigned to fields or properties without await, where the field is never subsequently awaited or .Wait()ed anywhere in the class. The task silently fails — any exception it throws is never observed and may eventually crash the process via UnobservedTaskException."
"find_implementations_safe","Finds all implementations of an interface member or virtual/abstract method in the solution
without requiring line/column coordinates.
Unlike the built-in find_implementations which needs a line number, this locates the symbol by name
with an optional contextSnippet.
symbolName: the interface member or virtual method name.
contextSnippet: optional verbatim substring of the declaration to disambiguate overloads.
Provide lineBefore and/or lineAfter when the snippet could match multiple locations.
Returns TypeName, FilePath, Line, and Kind for each implementing symbol."
"safe_delete","Safely deletes a symbol (method, property, class) only if it has zero usages in the entire codebase."
"find_todo_fixme_comments","Scans for TODO, FIXME, HACK, REVIEW, NOTE, BUG comments (case-insensitive) in a file, project, or entire solution. Sorted by severity: BUG/FIXME > HACK > TODO > REVIEW > NOTE."
"inline_parameter","Removes a method parameter that is always passed the same compile-time constant literal (e.g. 42, true, ""text"") at every call site, and replaces references to the parameter inside the method body with that constant. Only works when ALL call sites pass the same constant — rejects if call sites are in other files, if the argument varies, or if the argument is not a literal."
"find_readonly_field_candidates","Finds private, non-readonly fields that are only ever assigned inside constructors and could safely be marked readonly."
"find_hardcoded_paths","Scans for hardcoded file system paths. Pass filePath to scope to a single file, projectName to scope to a project, or leave both null to scan the whole solution."
"verify_interface_completeness","Checks every class that implements an interface and reports which interface members each implementor has covered. Useful for finding partially-implemented interfaces across the solution."
"convert_abstract_to_interface","Converts an abstract class to an interface."
"find_unbounded_recursion","Detects recursive methods that lack a depth parameter or an early-exit base-case guard (non-recursive if-return before the recursive call). Unbounded recursion on large inputs causes StackOverflowException and crashes the process with no recoverable exception."
"find_sequential_independent_awaits","Detects consecutive await expressions in async methods where neither result is used by the other await — missed Task.WhenAll() parallelism. Example: var a = await F(); var b = await G(); where b doesn't depend on a. Combining with Task.WhenAll cuts total latency to max(F,G)."
"run_bridge_batch","Converts a batch of methods flagged with [MigrationCandidate(""AsyncBridgeCandidate"")] to
the Asyncify-bridge pattern in a single call, using in-memory Roslyn compilation for
validation (no MSBuild round-trips). For each candidate:
  1. Calls convert_to_async_bridge to produce the transformed source.
  2. If propagateCancellationTokens=true: propagates CT to async callees in the new Async overload.
  3. Validates the composite source with in-memory compilation.
  4. On success: writes the file to disk and refreshes the workspace.
  5. On error: flags the method [MigrationCandidate(""NeedsManualReview"")] and continues.

Parameters:
  projectName                 — restrict candidate scan to one project (null = entire solution).
  maxBridges                  — max methods to process this call (default 10).
  scoreThreshold              — only candidates with score ≤ this are eligible (default 60).
                                flag_migration_candidates_in_project uses minScore 50, so no
                                candidate is flagged below 50. 60 captures the simplest batch first.
  dryRun                      — when true, reports what would happen without writing files.
  propagateCancellationTokens — when true (default), also propagates the CT parameter to
                                other async callees in the new async overload.

Returns BridgeBatchResult with:
  Applied             — methods successfully bridged and written to disk.
  Skipped             — methods that failed (each flagged NeedsManualReview).
  RemainingCandidates — count of eligible [MigrationCandidate] methods still pending.
  StopReason          — ""batch_complete"" | ""budget_exhausted"" | ""no_candidates"" | ""dry_run""."
"create_project","Creates a new project and adds it to the current solution."
"apply_proposed_changes","Commits a dictionary of file paths and their new contents to disk. Supports automatic retry for transient file locks."
